User_ID,FeatureX,FeatureY,Countries_ID,Created At Month,fm_total_activities,fm_discussions,fm_comments,fm_comp_participations,fm_act_$create_alias,fm_act_$identify,fm_act_Confirmed_Email,fm_act_Created_Submission,fm_act_Downloaded_Competition_Datafile,fm_act_Joined_Competition,fm_act_Signed_Up,fm_act_Updated_Discussion,fm_act_Updated_Profile,fm_act_Viewed_All_Competitions,fm_act_Viewed_All_Discussions,fm_act_Viewed_All_Jobs,fm_act_Viewed_All_Learning_Pages,fm_act_badge_OCZE,fm_act_comp_ID_528W,active_second_month
ID_DC6S4E9O,0,0,X9GR,1,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0
ID_E8S97OUT,1,0,X9GR,12,25.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,4.0,1.0,2.0,0.0,2.0,0
ID_QZ1HASL3,0,0,X9GR,1,21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,1.0,0.0,1.0,1.0,0.0,0
ID_SDV9Q3E9,1,0,X9GR,12,23.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,8.0,1.0,0.0,1.0,0.0,0.0,0
ID_W942LN7F,1,0,X9GR,1,62.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,11.0,9.0,2.0,8.0,1.0,14.0,1
ID_XAXET461,1,1,X9GR,2,48.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,11.0,15.0,0.0,3.0,1.0,0.0,1
ID_9LMT6576,1,0,X9GR,2,44.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,7.0,2.0,7.0,1.0,0.0,0
ID_34L2RZ88,1,0,X9GR,12,32.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,10.0,5.0,0.0,3.0,0.0,0.0,0
ID_3XU6DO19,1,0,X9GR,1,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,0.0,1
ID_JTGYJ9VC,0,0,X9GR,1,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0
ID_MNUN0Q5A,0,1,X9GR,12,46.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,7.0,10.0,0.0,7.0,0.0,0.0,0
ID_DP578TL8,0,0,X9GR,12,28.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,14.0,1.0,0.0,1.0,0.0,0.0,0
ID_HPFBRJ9Z,0,0,X9GR,12,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0
ID_8P5WZ2T3,0,0,X9GR,12,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0
ID_T92N5NBN,1,0,X9GR,1,93.0,0.0,2.0,1.0,1.0,2.0,1.0,15.0,5.0,1.0,1.0,0.0,4.0,36.0,10.0,0.0,5.0,1.0,10.0,1
